address,advertiser_id,advertiser_name,age,bath_amnt,bed_amnt,bed_ratio,covered_ratio,covered_surface,covered_surface_unit,currency,date_extracted,date_published,description,disposition,district,features,garage_amnt,is_finished_property,is_new_property,is_studio_apartment,land_ratio,land_surface,land_surface_unit,latitude,listing_age,listing_id,longitude,luminosity,maintenance_fee,maintenance_fee_currency,neighborhood,orientation,price,price_control,property_group,property_type,province,reconstructed_land_surface,reconstructed_land_surface_unit,reconstructed_total_surface,reconstructed_total_surface_unit,response,room_amnt,room_ratio,site,site_abbreviation,title,toilete_amnt,total_ratio,total_surface,total_surface_unit,transaction,uncovered_surface,uncovered_surface_unit,url,year_built
Maestro Argentino al 700,8546576,RAMIREZ Casa Central,10.0,1,1,54900.0,1098.0,50,m²,USD,"Sun, 25 Sep 2022 19:33:59 GMT","Tue, 27 Apr 2021 14:38:20 UTC","General Rodríguez

1 Dormitorio, Cocina Comedor, Baño, Sobre Asfalto, A 100 Mts. De Ruta 5, Colectivos Y A Minutos Del Centro De General Rodríguez. 

REF. 2124

---------------------------------------------------------


RAMIREZ Mandatos y Negocios Inmobiliarios.

COMARCOMGR N71 / 183 | C.U.C.I.C.B.A N8496

Seguinos en Instagram: @ramirezprop
www ramirezprop com ar",,General Rodríguez,"{'Altillo': False, 'Balcón': False, 'Comedor': True, 'Vestidor': False, 'Jardín': False, 'Parrilla': False, 'Toilette': False, 'Cocina': True, 'Living': False, 'Dependencia de servicio': False, 'Patio': True, 'Playroom': False, 'Estudio': False, 'Terraza': False, 'Apto profesional': False, 'Apto crédito': False, 'Aire acondicionado': False, 'Alarma': False, 'Gimnasio': False, 'Calefacción': False, 'Acceso a internet': True, 'Jacuzzi': False, 'Gas natural': False, 'Seguridad 24 horas': False, 'Pileta': False, 'Línea telefónica': True, 'Dormitorios': '1', 'Superficie cubierta': '50 m²', 'Cantidad de pisos': '0', 'Baños': '1', 'Expensas': '0 ARS', 'Cocheras': '0', 'Antigüedad': '10 años', 'Ambientes': '2', 'Superficie total': '300 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'TV por cable': True, 'Lavadero': False, 'Condición del ítem': 'Usado', 'Tour virtual': False}",0,True,False,False,183.0,,,-34.610897,Publicado hace 516 días,MLA918172249,-58.936108,,0,,General Rodríguez,,54900,True,Casa,Casa,Buenos Aires Interior,300,m²,,,,2,27450.0,mercadolibre,ML,Casa En Venta - General Rodriguez - (ref.2124),,183.0,300,m²,Venta,,,https://api.mercadolibre.com/items/MLA918172249,2012.0
Ventura Alegre al 500,322241711,Amengor Perovanis Bienes Raíces | CUCICBA 6972 · CMCPDJM 2878,40.0,1,2,19450.0,,0,m²,USD,"Sun, 25 Sep 2022 19:33:59 GMT","Tue, 20 Sep 2022 12:34:19 UTC","PH Dúplex con patio y entrada de auto pequeño.

A 8 cuadras de la estación de Ituzaingó.

Compuesto por:

Planta baja: Living comedor al ingreso con acceso a planta alta. Cocina semi integrada con todos los muebles completos. Toilette. Patio con lavadero. Entrada para auto pequeño.

Planta alta: Dormitorio principal. Segundo dormitorio o escritorio. Baño completo.

La propiedad se ubica en una zona de gran crecimiento urbanístico. Posee orientación Noreste (excelente iluminación) y acceso independiente. Gran conexión por líneas de colectivo. Entorno con mucho espacio verde.

OPORTUNIDAD CALIDAD/PRECIO.

Accesible: Si (Ley 5.115).

Comercializa Amengor Perovanis Bienes Raíces MORON 2878/ CUCICBA 6956

-

Nota: La información gráfica y escrita contenida en el presente aviso es meramente a título estimativo y no forma parte de ningún tipo de documentación contractual. Las medidas y superficies definitivas surgirán del título de propiedad del inmueble referido. Asimismo, los importes de impuestos, tasas, servicios y expensas aquí indicados están sujetos a verificación por parte del potencial comprador. El valor del inmueble indicado en el presente puede ser modificado sin previo aviso. Operación supeditada a que el propietario cumplimente con la R.G. N 2371/07 COTI.

Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Art. 5, Ley 5859 (inc.9 del art. 10, Ley 2340). Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes. Art. 4, Ley 5859 ( inc. 8, art.10, Ley 2340).",,Ituzaingó,"{'Balcón': False, 'Comedor': False, 'Vestidor': False, 'Jardín': False, 'Parrilla': False, 'Toilette': True, 'Cocina': True, 'Living': False, 'Dependencia de servicio': False, 'Patio': True, 'Playroom': False, 'Estudio': False, 'Terraza': False, 'Gas natural': True, 'Línea telefónica': True, 'Aire acondicionado': True, 'Gimnasio': False, 'Calefacción': True, 'Acceso a internet': True, 'Jacuzzi': False, 'Salón de usos múltiples': False, 'Seguridad 24 horas': False, 'Pileta': False, 'Apto crédito': True, 'Dormitorios': '2', 'Superficie cubierta': '0 m²', 'Disposición': 'Frente', 'Orientación': 'Norte', 'Baños': '1', 'Expensas': '2500 ARS', 'Cocheras': '1', 'Antigüedad': '40 años', 'Ambientes': '3', 'Superficie total': '70 m²', 'Operación': 'Venta', 'Inmueble': 'Ph', 'Condición del ítem': 'Usado', 'Tour virtual': False}",1,True,False,False,,,,-34.66635,Publicado hace 5 días,MLA1171687742,-58.67058,,2500,ARS,,Norte,38900,True,Ph,Ph,Bs.As. G.B.A. Oeste,,,,,,3,12966.666666666666,mercadolibre,ML,Venta · Ph Dúplex En Ituzaingó · 3 Ambientes · Patio · Cochera · Financia,,555.7142857142857,70,m²,Venta,,,https://api.mercadolibre.com/items/MLA1171687742,1982.0
"Cordoba, Máximo Paz, G.b.a. Sur",24720328,Mazzei Propiedades,0,,,,,,,USD,"Sun, 25 Sep 2022 19:33:59 GMT","Thu, 15 Sep 2022 18:59:49 UTC",Lote de 12x30 M2 en Moradas II. Excelente ubicación.,,Cañuelas,"{'Cloaca': False, 'Luz eléctrica': False, 'Gas natural': False, 'Agua corriente': False, 'Seguridad 24 horas': False, 'Acceso': 'Otro', 'Expensas': '0 ARS', 'Superficie total': '360 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Terreno y lote', 'Condición del ítem': 'Nuevo', 'Antigüedad': '0 años', 'Tour virtual': False}",,,True,,,,,-34.933334,Publicado hace 10 días,MLA1169095679,-58.61667,,0,,Máximo Paz,,18500,True,Terreno,Terreno,Buenos Aires Interior,,,,,,,,mercadolibre,ML,Lote Anticipo U$s 10.000 Y Cuotas,,51.388888888888886,360,m²,Venta,,,https://api.mercadolibre.com/items/MLA1169095679,
General Rodríguez 300,233510047,Mario Gabriel Gerez CMPCSI 6012 / CUCICBA 6477,2.0,1,1,52000.0,1625.0,32,m²,USD,"Sun, 25 Sep 2022 19:34:00 GMT","Fri, 23 Sep 2022 18:50:46 UTC","Corredor Responsable: Mario Gabriel Gerez CMPCSI 6012 / CUCICBA 6477 - 
Contacto: Gustavo Suarez
VENTA DEPARTAMENTO 2 AMBIENTES CON BALCÓN EN RAMOS MEJÍA

Living con Cocina Incorporada: 3,00 mts x 4,50 mts

Habitación con Placard: 3,00 mts x 3,60 mts

Baño: 2,10 mts x 1,40 mts

Balcón: 3,00 mts x 1,20 mts

Posee Conexión para Lavarropas


La oficina es de operación y gestión independiente.
La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados. Los agentes/gestores NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario responsable de la presente publicación.
Comprá la casa que querés! No la que podés. Accedé a un préstamo por hasta el 30% del valor de esta propiedad. Simulá tu cuota en Lendar.",,La Matanza,"{'Parrilla': False, 'Toilette': False, 'Tipo de departamento': 'Departamento', 'Dormitorios': '1', 'Superficie cubierta': '32 m²', 'Baños': '1', 'Cocheras': '0', 'Antigüedad': '2 años', 'Ambientes': '2', 'Superficie total': '35 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Departamento', 'Condición del ítem': 'Usado', 'Tour virtual': False}",0,True,False,False,,,,-34.647938,Publicado hace 2 días,MLA1175779622,-58.550488,,,,Ramos Mejía,,52000,True,Departamento,Departamento,Bs.As. G.B.A. Oeste,,,,,,2,26000.0,mercadolibre,ML,Venta Departamento Nuevo 2 Amb Balcón Ramos Mejía,,1485.7142857142858,35,m²,Venta,,,https://api.mercadolibre.com/items/MLA1175779622,2020.0
BATALLA DE CEPEDA 165,239569247,,0,2,2,77500.0,1550.0,100,m²,USD,"Sun, 25 Sep 2022 19:34:00 GMT","Tue, 13 Sep 2022 03:09:15 UTC","VENTA - HERMOSA PROPIEDAD

Casa en Villa Taurel sobre lote de 900 m2. Posee 100mts cubiertos y 40 semicubiertos, 2 dormitorios, baño principal, cocina, living comedor, lavadero, toilette y galería. 100 mts cubiertos 

ACEPTAMOS PROPIEDAD EN CAPITAL FEDERAL COMO FORMA DE PAGO.
ACEPTAMOS PROPUESTAS.

CONSULTANOS!!",,Exaltación de la Cruz,"{'Condición del ítem': 'Nuevo', 'Dormitorio en suite': True, 'Comedor': True, 'Jardín': True, 'Parrilla': True, 'Toilette': True, 'Cocina': True, 'Living': True, 'Dependencia de servicio': True, 'Dormitorios': '2', 'Horario de contacto': '9 A 22', 'Superficie cubierta': '100 m²', 'Orientación': 'Norte', 'Cantidad de pisos': '1', 'Baños': '2', 'Tipo de casa': 'Casa', 'Cocheras': '1', 'Antigüedad': '0 años', 'Ambientes': '3', 'Superficie total': '900 m²', 'Bodegas': '0', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'Tour virtual': False}",1,,True,False,172.22222222222223,,,-34.29266,Publicado hace 12 días,MLA1167210010,-59.10104,,,,Capilla del Señor,Norte,155000,True,Casa,Casa,Buenos Aires Interior,900,m²,,,,3,51666.666666666664,mercadolibre,ML,Venta De Hermosa Propiedad En Capilla Del Señor,,172.22222222222223,900,m²,Venta,,,https://api.mercadolibre.com/items/MLA1167210010,
General Toribio Luzuriaga 1767,165382525,Roberto Ricardo Kauaz,0,1,2,22673.5,553.0121951219512,82,m²,USD,"Sun, 25 Sep 2022 19:34:00 GMT","Mon, 25 Jul 2022 16:11:26 UTC","La Maison Boutique - Hurlingham ( Villa Club) - Etapa: En Construcción


El complejo esta ubicado en la calle General Toribio Luzuriaga 1767, Hurlingham dicho complejo esta emplazado sobre un lote de generosas dimensiones donde conjugan los espacios verdes, la vegetación autóctona, y la circulación interna que se ensambla con la construcción de líneas puras y de materiales nobles.


Cuenta con 8 duplex de dos pisos con garage y parque individual los mismo se encuentran ubicados en el sector posterior del predio, en el sector de frente con vista a la calle se ubica el edificio de 3 pisos que cuenta con departamentos de 3- 2 y monoambientes, dicho edificio no tiene medianeras dado que su iluminación y ventilación es abierta hacia los cuatros lados. El acceso al complejo es mediante un portón con vigilancia y posee una circulación interna con estacionamientos y también cuenta con área de expansión con piscina solárium y vestuarios.


área de Edificio :
El edifico cuenta con planta baja y dos pisos en los cuales se distribuyen 24 departamentos de 3,2 y 1 ambientes todos con muy buena iluminación y ventilación.
Dicho edificio esta construido de en hormigón armado vista y paredes de texturas. En planta baja cada departamento cuenta con un pequeño espacio verde y en el 1er y 2do piso con balcones .
* Los departamentos de 3 ambientes cuentan con 2 dormitorios baño cocina con desayunador living toilette y espacio para lavadero.
* Los departamentos de 2 ambientes cuentan con un dormitorio baño cocina con desayunador living y toilette.
* Los departamentos de 1 ambiente ( monoambientes) cuentan con cocina baño y un espacio multiuso.
* Consultar valores de cocheras



UNIDAD:  2do Piso N 24PRECIO TOTAL: U$D 113.369ANTICIPO: U$D 45.347 Y 20 CUOTAS EN PESOS + CAC

Zampone Propiedades
C.U.C.I.C.B.A. 4629 CSI 5792
OBSERVACIONES: Las medidas indicadas son aproximadas y al solo efecto orientativo. Las reales surgirán del título de propiedad respectivo. El valor de las expensas puede variar sin previo aviso.",,Hurlingham,"{'Balcón': True, 'Comedor': True, 'Vestidor': False, 'Jardín': True, 'Parrilla': False, 'Toilette': True, 'Cocina': True, 'Lavadero': False, 'Living': True, 'Dependencia de servicio': False, 'Patio': False, 'Playroom': False, 'Estudio': False, 'Terraza': False, 'Apto profesional': True, 'Apto crédito': False, 'Aire acondicionado': False, 'Gimnasio': False, 'Calefacción': False, 'Acceso a internet': True, 'Jacuzzi': False, 'Salón de usos múltiples': True, 'Gas natural': True, 'Seguridad 24 horas': True, 'Pileta': False, 'Agua corriente': True, 'Línea telefónica': True, 'Dormitorios': '2', 'Superficie cubierta': '82 m²', 'Cantidad de pisos': '0', 'Baños': '1', 'Expensas': '0 ARS', 'Cocheras': '0', 'Antigüedad': '0 años', 'Ambientes': '3', 'Superficie total': '103 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Departamento', 'Condición del ítem': 'Nuevo', 'Tour virtual': False}",0,,True,False,,,,-34.58108,Publicado hace 62 días,MLA1148291638,-58.634853,,0,,Hurlingham,,45347,True,Departamento,Departamento,Bs.As. G.B.A. Oeste,,,,,,3,15115.666666666666,mercadolibre,ML,Departamento - Hurlingham,,440.2621359223301,103,m²,Venta,,,https://api.mercadolibre.com/items/MLA1148291638,
Guiraldes SN,84056614,,,4,3,53000.0,1019.2307692307693,156,m²,USD,"Sun, 25 Sep 2022 19:34:00 GMT","Tue, 02 Aug 2022 16:09:52 UTC","Excelente chalet en dos plantas.
Planta baja: amplio living con hogar, toilette, baulera y escritorio.
Comedor diario, cocina y jardín de invierno.
Dos habitaciones con baño completo y vestidor.
Planta alta: suite principal con vestidor, baño completo con hidromasaje y balcón terraza con excelente vista.
Amplio jardín en terreno de 730m2, con pileta y quincho con baño y lavadero. 
Cochera para dos autos.
Casa quinta ideal para vivienda permanente o fin de semana.",,Exaltación de la Cruz,"{'Dormitorios': '3', 'Superficie cubierta': '156 m²', 'Baños': '4', 'Cocheras': '2', 'Superficie total': '209 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'Tour virtual': False}",2,,False,,760.7655502392345,,,-34.27433,Publicado hace 54 días,MLA1149347707,-59.150105,,,,Barrio Parque Sakura,,159000,True,Casa,Casa,Buenos Aires Interior,209,m²,,,,,,mercadolibre,ML,Casa En Venta Brio. Parque Sakura Exaltación De La Cruz,,760.7655502392345,209,m²,Venta,,,https://api.mercadolibre.com/items/MLA1149347707,
mateo casco 1057,152174959,,,2,3,50000.0,1153.8461538461538,130,m²,USD,"Sun, 25 Sep 2022 19:34:00 GMT","Thu, 25 Aug 2022 16:38:00 UTC",,,Exaltación de la Cruz,"{'Dormitorios': '3', 'Superficie cubierta': '130 m²', 'Baños': '2', 'Cocheras': '2', 'Superficie total': '308 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'Tour virtual': False}",2,,False,,487.012987012987,,,-34.288734,Publicado hace 31 días,MLA1158016465,-59.095467,,,,Capilla del Señor,,150000,True,Casa,Casa,Buenos Aires Interior,308,m²,,,,,,mercadolibre,ML,Venta Casa En Capilla Del Señor 5 Cuadras Del Centro ,,487.012987012987,308,m²,Venta,,,https://api.mercadolibre.com/items/MLA1158016465,
Schuman 100,228575895,Marcela Genovesi,,3,4,137500.0,1100.0,500,m²,USD,"Sun, 25 Sep 2022 19:34:00 GMT","Tue, 27 Oct 2020 17:03:46 UTC","Casa estilo ingles en Barrio Parque Johnston en Hurlingham 
a pocas cuadras de las estaciones de trenes principales y a metros del centro comercial. 
Casa con importante lote, muy arbolado y fresco. 
PB Living comedor luminoso con hogar a leña. Amplio comedor principal con piso de pinotea y ventanales que dan al parque.
Radiadores de agua en toda la casa. Aires acondicionados splits en todos los cuartos frio - calor 
2 dormitorios c baños en suite y vestidor 
2 dormitorios semi - suite 
Piscina 8x4 con playa seca
Quincho – Galeria con parrilla / ventiladores de techo",,Hurlingham,"{'Comedor': True, 'Jardín': True, 'Parrilla': True, 'Cocina': True, 'Living': True, 'Pileta': True, 'Dormitorios': '4', 'Superficie cubierta': '500 m²', 'Orientación': 'Norte', 'Baños': '3', 'Cocheras': '2', 'Ambientes': '5', 'Superficie total': '500 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'Lavadero': True, 'Tour virtual': False}",2,,False,False,,,,-34.589573,Publicado hace 698 días,MLA885658779,-58.627552,,,,Hurlingham,Norte,550000,True,Casa,Casa,Bs.As. G.B.A. Oeste,,,,,,5,110000.0,mercadolibre,ML,"Casa  En Venta Ubicado En Hurlingham, Hurlingham",,1100.0,500,m²,Venta,,,https://api.mercadolibre.com/items/MLA885658779,
Rincon de Mitre,794140413,Melany Casadei,0,1,1,112000.0,2036.3636363636363,55,m²,USD,"Sun, 25 Sep 2022 19:34:00 GMT","Fri, 02 Sep 2022 18:04:44 UTC","Dúplex en venta 2 ambientes en condominio Rincón de Mitre. Bajas expensas!

      
    

En planta baja tiene toilette de recepción, cocina con muebles completa y patio con espacio para parrilla.
 Planta alta un dormitorio con placard y baño completo con ducha.

Cochera cubierta para un auto.

La unidad tiene renta actualmente.

Rincón de Mitre se encuentra ubicado en Emilio Mitre 987 de la ciudad de Ezeiza.

Es un excelente complejo de dúplex con todos los servicios: Laundry, Piscina, SUM y Monitoreo de seguridad. Además, cada unidad cuenta con jardines y cochera propios.

La propuesta nace con una idea de partido de viviendas estilo neo-racionalista con toques contemporáneos.
Cuenta además con un salón de usos múltiples y una piscina con solárium, ambos espacios de uso común.Tiene líneas definidas, ortogonales en su totalidad.Las diferentes texturas, en donde se destaca los revestimientos cementicios acrílicos para paredes, las terminaciones interiores en yeso y el deck de madera posterior, contrastan con la propuesta clásica aportándole un toque de frescura y modernidad.
El principal protagonista del emprendimiento son las áreas verdes, tanto en espacios comunes como privativos, y su calle central que conecta todos los espacios.

USD 112.000

Observaciones: Estas superficies, medidas y expensas son aproximadas y meramente orientativas y no resultan vinculantes. Las reales son las que surgen del título de propiedad y recibo de expensas que serán suministrados por el propietario.
ADVERTENCIA IMPORTANTE: Los montos especificados de expensas responden a una declaración del propietario el día que fue visitada la propiedad. Se deberá verificar el monto actualizado al alquiler/compra de la propiedad.
La presente oferta de venta está condicionada a la obtención del COTI por parte del propietario (Resol. AFIP 2371).",,Ezeiza,"{'Altillo': False, 'Balcón': False, 'Comedor': True, 'Vestidor': True, 'Jardín': True, 'Parrilla': True, 'Toilette': False, 'Cocina': True, 'Living': True, 'Dependencia de servicio': False, 'Patio': True, 'Playroom': False, 'Estudio': False, 'Terraza': False, 'Apto profesional': False, 'Apto crédito': False, 'Aire acondicionado': False, 'Alarma': False, 'Gimnasio': False, 'Calefacción': False, 'Acceso a internet': True, 'Jacuzzi': False, 'Gas natural': True, 'Seguridad 24 horas': True, 'Pileta': True, 'Línea telefónica': False, 'Dormitorios': '1', 'Superficie cubierta': '55 m²', 'Cantidad de pisos': '1', 'Baños': '1', 'Expensas': '0 ARS', 'Cocheras': '1', 'Antigüedad': '0 años', 'Ambientes': '2', 'Superficie total': '96 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'TV por cable': True, 'Lavadero': False, 'Condición del ítem': 'Nuevo', 'Tour virtual': False}",1,,True,False,1166.6666666666667,,,-34.86802,Publicado hace 23 días,MLA1161914428,-58.506516,,0,,,,112000,True,Casa,Casa,Bs.As. G.B.A. Sur,96,m²,,,,2,56000.0,mercadolibre,ML,"Impecable Duplex En Venta En Barrio Rincon De Mitre, Canning",,1166.6666666666667,96,m²,Venta,,,https://api.mercadolibre.com/items/MLA1161914428,
