description,X_validation,address,advertiser_id,advertiser_name,age,arba_code,bath_amnt,bed_amnt,bed_ratio,coordinates,corona,count_duplicates,covered_ratio,covered_surface,covered_surface_unit,currency,date_extracted,date_published,disposition,district,features,garage_amnt,is_duplicated_coord,is_finished_property,is_new_property,is_studio_apartment,land_ratio,land_surface,land_surface_unit,latitude,listing_age,listing_id,longitude,luminosity,maintenance_fee,maintenance_fee_currency,neighborhood,nombre_arba,orientation,present_listing_id_in_previous,price,price_control,property_group,property_type,province,reconstructed_date_published,reconstructed_land_surface,reconstructed_land_surface_unit,reconstructed_total_surface,reconstructed_total_surface_unit,response,room_amnt,room_ratio,site,site_abbreviation,title,toilet_amnt,total_ratio,total_surface,total_surface_unit,transaction,uncovered_surface,uncovered_surface_unit,url,year_built,direccion,fot,irregular,medidas,esquina,barrio,frentes,pileta,urb_cerrada,posesion,urb_semicerrada,preventa,indiviso,a_demoler,es_multioferta,es_monetizable,loteo_ph
"CHALET DE ESTILO. 5 AMB. 254 M2. LOTE 10 X 23 EN DOS PLANTAS. PLANTA BAJA: LIVING 6 X 4 -  COMEDOR 4 X 4 ( SALIDA AL JARDIN ) - UN BAÑO COMPLETO UN DORMITORIO CON HOGAR EN SUITE de 3,50 x 3,50 C/ PLACARES COCINA COMEDOR 4 X 3 - LAVADERO - DEP. DE SERV. JARDIN 10 X 7 - GARAGE DOBLE 10 X 3 PLANTA ALTA: TRES DORMITORIOS : DOS EN SUITE Y CON HOGAR. EL PRINCIPAL DE 6 X 3.50 - 4 X 3 y 3.50 X 3.50 TODOS CON AMPLIOS PLACARES Y CAJONERAS. CALEFACCION POR RARIADORES PISOS: ROBLE Y PORCELANATO - TECHO: TEJAS CARPINTERIA Y HERRAJES DE PRIMERA CALIDAD ****** RECICLADO HACE 15 AÑOS ******  Servicios: Cloacas, Gas  Otros Servicios: Jardín trasero",,,102426,,0,45,4,4,0.0,"-38.0108,-57.53609",,1,0.0,254.0,m²,USD,2024-02-02,,,General Pueyrredon,"{'Cant. Baños': '4', 'Cant. Ambientes': '5', 'Cant. Dormitorios': '4', 'Estado': 'Muy Bueno', 'Cant. Plantas': '2', 'Cant. Cocheras': '2', 'Tipo de Unidad': 'Chalet', 'Tipo de operación': 'Venta', 'Sup. Cubierta': '254 m2', 'Sup. Terreno': '230 m2', 'Pavimento': True, 'Agua corriente': True, 'Electricidad': True, 'Gas natural': True}",0,False,,,,0.0,230.0,m²,-38.0108,,8061479,-57.53609,,,,Stella Maris,General Pueyrredón,,False,0.0,False,Casa,Casa,Buenos Aires,2024-03-06,,,,,,0,,argenprop,AP,"Casa en Venta en Stella Maris, Mar Del Plata",0,0.0,230.0,m²,Venta,,,https://www.argenprop.com/casa-en-venta-en-stella-maris-5-ambientes--8061479,,,,,10 x 23,,,,,,,,,,,,True,
"Venta de Departamento 2 AMBIENTES en Balcarce, Balcarce
Tercer piso a la calle
Living-comedor, cocina separada, dormitorio y baño
Cocina reciclada. Baño parcialmente reciclado
Excelente estado de conservación
Incluye el mobiliario que se ve en las fotos

      
      
    
XINTEL(NNE-NNE-508)",,Gascón y Lamadrid al 1700,694547150,Nicolas Navarro Inmobiliaria,0,45,1,1,60000.0,"-38.0067419,-57.5415606",,1,1463.41463414634,41.0,m²,USD,2024-02-02,2023-12-12,,Balcarce,"{'Balcón': False, 'Dormitorio en suite': False, 'Desayunador': False, 'Comedor': False, 'Vestidor': False, 'Jardín': False, 'Parrilla': False, 'Toilette': False, 'Cocina': False, 'Con lavadero': False, 'Living': False, 'Dependencia de servicio': False, 'Patio': False, 'Playroom': False, 'Roof garden': False, 'Estudio': False, 'Terraza': False, 'Apto profesional': False, 'Apto crédito': False, 'Aire acondicionado': False, 'Caldera': False, 'Business center': False, 'Área de cine': False, 'Cisterna': False, 'Lavandería': False, 'Estacionamiento para visitantes': False, 'Gimnasio': False, 'Calefacción': False, 'Chimenea': False, 'Acceso a internet': False, 'Jacuzzi': False, 'Ascensor': True, 'Salón de usos múltiples': False, 'Gas natural': False, 'Salón de fiestas': False, 'Área de juegos infantiles': False, 'Seguridad': False, 'Pileta': False, 'Agua corriente': False, 'Línea telefónica': False, 'Cancha de tenis': False, 'Superficie de balcón': '0 m²', 'Url canónica': 'No Disponible', 'Sitio de origen': 'No Disponible', 'Tipo de departamento': 'Departamento', 'Dormitorios': '1', 'Horario de contacto': 'No Disponible', 'Superficie cubierta': '41 m²', 'Disposición': 'Frente', 'Cantidad de pisos': '0', 'Baños': '1', 'Expensas': '7000 ARS', 'Cocheras': '0', 'Antigüedad': '0 años', 'Ambientes': '2', 'Superficie total': '41 m²', 'Número de piso de la unidad': '3', 'Depósitos': '0', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Departamento', 'Número del departamento': 'A', 'Amoblado': False, 'Cancha de básquetbol': False, 'Placards': False, 'Grupo electrógeno': False, 'Heladera': False, 'Recepción': False, 'Canchas de usos múltiples': False, 'Cancha de paddle': False, 'Sauna': False, 'Propiedad en remate': False, 'Admite mascotas': False, 'Condición del ítem': 'Nuevo', 'Identificador de teléfono': 'No Disponible', 'Código de la propiedad': 'No Disponible', 'Rampa para silla de ruedas': False, 'Con barrio cerrado': False, 'Con área verde': False, 'Con conexión para lavarropas': False, 'Con cancha de fútbol': False, 'Con energia solar': False, 'Con tour virtual': False}",0,False,,True,False,,,,-38.0067419,Publicado hace 51 días,MLA1398833427,-57.5415606,,7000.0,ARS,Balcarce,General Pueyrredón,,True,60000.0,True,Departamento,Departamento,Buenos Aires Interior,2023-12-12,,,,,,2,30000.0,mercadolibre,ML,Departamento En Venta En Balcarce,0,1463.41463414634,41.0,m²,Venta,,,https://api.mercadolibre.com/items/MLA1398833427,,,,,,,,,,,,,,,,,True,
"Venta de Quinta, Balcarce      
      
    
XINTEL(PIE-PIE-513)",,Camino viejo a Mar del Plata - QUINTA,9802698,DANIEL PIEDRA Propiedades,50,45,0,2,55000.0,"-37.9742657,-57.5831937",,2,1375.0,80.0,m²,USD,2024-02-02,2023-12-29,,Balcarce,"{'Condición del ítem': 'Usado', 'Dormitorio en suite': False, 'Comedor': False, 'Vestidor': False, 'Parrilla': False, 'Toilette': False, 'Cocina': False, 'Living': False, 'Dependencia de servicio': False, 'Patio': False, 'Playroom': False, 'Estudio': False, 'Terraza': False, 'Cloaca': False, 'Luz eléctrica': False, 'Gas natural': False, 'Agua corriente': False, 'Línea telefónica': False, 'Aire acondicionado': False, 'Cancha de básquetbol': False, 'Cancha de fútbol': False, 'Calefacción': False, 'Chimenea': False, 'Acceso a internet': False, 'Jacuzzi': False, 'Cancha de paddle': False, 'Seguridad': False, 'Pileta': False, 'Cancha de tenis': False, 'Dormitorios': '2', 'Superficie cubierta': '80 m²', 'Baños': '0', 'Acceso': 'Asfalto', 'Forma del terreno': 'Regular', 'Expensas': '0 ARS', 'Cocheras': '0', 'Antigüedad': '50 años', 'Ambientes': '3', 'Superficie total': '8 ha', 'Depósitos': '0', 'Operación': 'Venta', 'Inmueble': 'Quinta', 'TV por cable': False, 'Con lavadero': False, 'Con tour virtual': False}",0,True,True,False,False,,,,-37.9742657,Publicado hace 34 días,MLA1614551844,-57.5831937,,0.0,,,General Pueyrredón,,True,110000.0,True,Casa,Quinta,Buenos Aires Interior,2023-12-29,,,,,,3,36666.6666666667,mercadolibre,ML,Quinta De 8 Has. A 1.800 Mts Ruta 226 - 100 % Agrícola,0,13750.0,8.0,ha,Venta,,,https://api.mercadolibre.com/items/MLA1614551844,1974.0,,,,,,,,,,,,,,,,,
"EXCELENTE CASA EN HARAS DEL SUR II

Código de Referencia: PRO16978



En Planta Baja: Cocina de 7x7 mts2/ Living con hogar a leña, de 6x7 mt2/ Toilet/ Estudio/ Habitación de huéspedes/ Baño completo con salidaa la piscina/ Lavadero independiente/ Quincho de 10x5,5 mts2 



Primer piso: Habitación principal de 4x5 mts2, con vestidor de 5x1,70 mts2 y baño privado con jacuzzi/ Dos habitaciones de 3,5x3,5/ Baño completo/

Baulera o despensa



INMEJORABLE UBICACIÓN 

De fácil y seguro acceso desde la ruta.

+

4 HABITACIONES (UNA EN SUITE CON JACUZZI)/ HABITACIÓN DE HUÉSPEDES/ ESCRITORIO 

+ 

DOS COCHERAS CUBIERTAS 

+

PISCINA 

+

QUINCHO

+

BAULERA



Barrio muy consolidado, seguridad 24 hrs, amenities de categoría (gimnasio, spa, área deportiva con canchas de fútbol, tenis, golf, piscina in/out, solárium. Área recreativa: Club House Principal y deportivo, cuenta con espacios para toda la familia, zona de juegos para niños) 



Corredor Inmobiliario Interviniente: Sebastian Bessone CUCICBA 7433 - CMCPDJLP 7497",,Ruta 2  73,822502309,Alfredo Vega,7,45,3,4,81250.0,"-37.9653425,-57.5778561",,3,1747.31182795699,186.0,m²,USD,2024-02-02,2023-12-25,,Brandsen,"{'Dormitorio en suite': True, 'Comedor': True, 'Vestidor': True, 'Jardín': True, 'Parrilla': True, 'Toilette': True, 'Cocina': True, 'Living': True, 'Patio': True, 'Playroom': True, 'Estudio': True, 'Apto crédito': False, 'Gimnasio': True, 'Gas natural': True, 'Seguridad': True, 'Dormitorios': '4', 'Superficie cubierta': '186 m²', 'Orientación': 'Oeste', 'Baños': '3', 'Expensas': '20000 ARS', 'Cocheras': '2', 'Antigüedad': '7 años', 'Ambientes': '5', 'Superficie total': '270 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'Con lavadero': True, 'Condición del ítem': 'Usado', 'Superficie de terreno': '1000 m²', 'Código de la propiedad': 'PRO16978', 'Con tour virtual': False}",2,True,True,False,False,1203.7037037037,,,-37.9653425,Publicado hace 38 días,MLA1400140935,-57.5778561,,20000.0,ARS,Coronel Brandsen,General Pueyrredón,Oeste,True,325000.0,True,Casa,Casa,Buenos Aires Interior,2023-12-25,270.0,m²,,,,5,65000.0,mercadolibre,ML,Casa En Venta 4 Dormitorios En Haras Del Sur 2,0,1203.7037037037,270.0,m²,Venta,,,https://api.mercadolibre.com/items/MLA1400140935,2017.0,,,,,,Club House Principal,,,True,,,,,,,True,
"Living comedor con ventanal y vista panorámica. 

Dormitorio con pisos de parquet y placard. 

Cocina integrada con isla. Posee horno electico, anafe de vitrocerámica, heladera con frezzer y lavarropas. 

Pasillo distribuidor con vestidor. 

Baño completo con ducha y mampara. Toilette de servicio 

Calefacción por radiadores. 

Edificio con Seguridad las 24 horas.      
      
    
XINTEL(GOM-GOM-94)",,Corrientes 1685,243680411,Fernando Gomez Propiedades,45,45,1,1,99000.0,"-38.000792,-57.5440479",,2,1903.84615384615,52.0,m²,USD,2024-02-02,2023-12-11,,Castelli,"{'Balcón': False, 'Dormitorio en suite': False, 'Desayunador': False, 'Comedor': False, 'Vestidor': False, 'Jardín': False, 'Parrilla': False, 'Toilette': False, 'Cocina': False, 'Con lavadero': False, 'Living': False, 'Dependencia de servicio': False, 'Patio': False, 'Playroom': False, 'Roof garden': False, 'Estudio': False, 'Terraza': False, 'Apto profesional': False, 'Apto crédito': False, 'Aire acondicionado': False, 'Caldera': False, 'Business center': False, 'Área de cine': False, 'Cisterna': False, 'Lavandería': False, 'Estacionamiento para visitantes': False, 'Gimnasio': False, 'Calefacción': False, 'Chimenea': False, 'Acceso a internet': False, 'Jacuzzi': False, 'Ascensor': False, 'Salón de usos múltiples': False, 'Gas natural': False, 'Salón de fiestas': False, 'Área de juegos infantiles': False, 'Seguridad': False, 'Pileta': False, 'Agua corriente': False, 'Línea telefónica': False, 'Cancha de tenis': False, 'Superficie de balcón': '0 m²', 'Url canónica': 'No Disponible', 'Sitio de origen': 'No Disponible', 'Tipo de departamento': 'Departamento', 'Dormitorios': '1', 'Horario de contacto': 'No Disponible', 'Superficie cubierta': '52 m²', 'Cantidad de pisos': '0', 'Baños': '1', 'Expensas': '8000 ARS', 'Cocheras': '0', 'Antigüedad': '45 años', 'Ambientes': '2', 'Superficie total': '52 m²', 'Número de piso de la unidad': '0', 'Depósitos': '0', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Departamento', 'Número del departamento': '1', 'Amoblado': False, 'Cancha de básquetbol': False, 'Placards': False, 'Grupo electrógeno': False, 'Heladera': False, 'Recepción': False, 'Canchas de usos múltiples': False, 'Cancha de paddle': False, 'Sauna': False, 'Propiedad en remate': False, 'Admite mascotas': False, 'Condición del ítem': 'Usado', 'Identificador de teléfono': 'No Disponible', 'Código de la propiedad': 'No Disponible', 'Rampa para silla de ruedas': False, 'Con barrio cerrado': False, 'Con área verde': False, 'Con conexión para lavarropas': False, 'Con cancha de fútbol': False, 'Con energia solar': False, 'Con tour virtual': False}",0,True,True,False,False,,,,-38.000792,Publicado hace 52 días,MLA1398650535,-57.5440479,,8000.0,ARS,Centro Guerrero,General Pueyrredón,,True,99000.0,True,Departamento,Departamento,Buenos Aires Interior,2023-12-11,,,,,,2,49500.0,mercadolibre,ML,"Venta Departamento 2 Ambientes Centro, Mar Del Plata.",0,1903.84615384615,52.0,m²,Venta,,,https://api.mercadolibre.com/items/MLA1398650535,1979.0,,,,,,,,,,,,,,,,True,
"Lote UF 94 en venta en El Club de Campo El Mirador, Brandsen, a la altura del Peaje de Samboronbón Autovía 2, Km 90 UNICO CLUB DE CAMPO CON SPA PRIVADO DE PRIMER NIVEL este club de campo de aguas termales extraídas a 950 metros de profundidad y a 41ªC de alta salinidad. Su paisaje combina lomadas, quebradas y campo, junto con arboles añosos, la belleza del Rio Samborombòn. El mismo cuenta con una moderna infraestructura social, deportiva y de servicios, lo que lo convierte en una excelente opción a la hora de evaluar donde invertir.

Thermal, Relax & Spa ha sido creado para brindar a sus socios un lugar donde reconfortar cuerpo y mente, y recuperar la serenidad interior con diferentes tratamientos estéticos, revitalizantes y terapéuticos. Tiene diseñado circuitos con tecnología de ultima generación.

Ofrece a sus socios una piscina lúdica, la cual mediante una serie de accesorios se transforma en un verdadero circuito de hidroterapia que estimula todos los puntos de energía del cuerpo. La realización de todas las estaciones del mismo, permiten una combinación perfecta entre lo terapéutico, lo relajante y lo placentero. ammam: baño de vapor húmedo (turco). Sauna Finlandes: baño de calor seco. Cuatro duchas de sensaciones. Camino de sensaciones. Pediluvio: es un circuito relajante de pies y piernas. Tres tumbonas subacuáticas. Dos cascadas lúdicas. Un anillo de aire. Un circuito de caminata contra corriente. Piscina In out de aguas termales.Salas de masajes. Sector de relax.

Amenitis: Espejos de Agua y 2300m2 de costa sobre el Río Samborombón. Playa de Arena y Piscina de Aguas Dulces. Club House. Restaurante. Microcine. Sauna y Vestuarios. Gimnasio de Musculación. Canchas de Tenis de Polvo de Ladrillo. Paddle. Fútbol. Club House Náutico. Thermal Spa & Relax. Seguridad las 24hs. Red Subterránea de Energía Eléctrica


XINTEL(GNP-GNP-532)",,Ruta Autovia 2 94 Ruta Autov,220212913,Gustavo Novella Propiedades,0,45,0,0,,"-37.9655782,-57.577789",,1,,,,USD,2024-02-02,2023-12-12,,Brandsen,"{'Condición del ítem': 'Nuevo', 'Cloaca': False, 'Luz eléctrica': False, 'Forestación': False, 'Gas natural': False, 'Agua corriente': False, 'Seguridad': False, 'Url canónica': 'No Disponible', 'Sitio de origen': 'No Disponible', 'Horario de contacto': 'No Disponible', 'Acceso': 'Asfalto', 'Metros de fondo': '0 m', 'Disposición del lote': 'Otro', 'Forma del terreno': 'Regular', 'Metros de frente': '0 m', 'Expensas': '29000 ARS', 'Superficie total': '1770 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Terreno y lote', 'Identificador de teléfono': 'No Disponible', 'Antigüedad': '0 años', 'Código de la propiedad': 'No Disponible', 'Con tour virtual': False}",0,False,,True,,,,,-37.9655782,Publicado hace 51 días,MLA1595783332,-57.577789,,29000.0,ARS,Altamirano,General Pueyrredón,,True,40000.0,True,Terreno,Terreno,Buenos Aires Interior,2023-12-12,,,,,,0,,mercadolibre,ML,Lote En Club De Campo El Mirador- Chascomus- Brandsen,0,22.5988700564972,1770.0,m²,Venta,,,https://api.mercadolibre.com/items/MLA1595783332,,,,,,,Club House Náutico,,,True,,,,,,,,
"A dos cuadras del pueblo frente al club municipal se encuentra este excelente campo de 16 hectáreas con muchísima arboleda y casa totalmente equipada , su ubicación es óptima en el pueblo , cuenta con 3 habitaciones una equipada para 4 personas , galpón para guardado , agua de pozo luz eléctrica con medidor",,Calle Aristobulo del Valle SN,1561942761,,0,45,1,3,,"-38.0122121,-57.5436143",,1,,,,USD,2024-02-02,2024-01-22,,Bolívar,"{'Superficie total': '16 ha', 'Dormitorios': '3', 'Baños': '1', 'Acceso': 'Tierra', 'Operación': 'Venta', 'Inmueble': 'Campo', 'Con tour virtual': False}",0,False,,False,,,,,-38.0122121,Publicado hace 10 días,MLA1640246706,-57.5436143,,,,San Carlos de Bolívar,General Pueyrredón,,False,5000.0,True,Campo,Campo,Buenos Aires Interior,2024-01-22,,,,,,0,,mercadolibre,ML,Excelente Campo Con Casa 4 Amb En Espigas Olavarria Bolívar,0,312.5,16.0,ha,Venta,,,https://api.mercadolibre.com/items/MLA1640246706,,,,,,,,,,,,,,,,,True,
"ALQUILER LOCAL COMERCIAL
Bronzini e Ituzaingó.
80.000 Pesos mensuales. Más Luz, gas y Obras sanitarias.
25 mts 2
Cuenta con baño, agua corriente.
IDEAL PARA LAVANDERÍA, PELUQUERÍA O CUALQUIER RUBRO QUE REQUIERA UTILIZACIÓN DE AGUA CORRIENTE COMO LABORATORIOS, CONSULTORIOS MÉDICOS U ODONTOLÓGICOS, TALLERES DE PINTURA, ETC.

ESTUDIO INMOBILIARIO MATIAS I. MACHADO REGISTRO 3868.
Requisitos para ingresar:
Demostrar ingresos en blanco del grupo que va alquilar y tener garantía 2 recibos o propiedad.

Tener 2 garantes con recibo de sueldo o garantía propietaria
/2235713702 o 2236238682/fijo 2236281167 llamado o WHATSAPP
Respondemos a la brevedad GRUPO ALQUILERES 36 MESES MAR DEL PLATA PROPIEDADES.",,RIOJA 2617,134218034,,0,45,1,0,,"-38.0048506,-57.5570875",,1,,30.0,m²,ARS,2024-02-02,2023-10-13,,Mar del Plata,"{'Superficie cubierta': '30 m²', 'Baños': '1', 'Cocheras': '0', 'Superficie total': '30 m²', 'Operación': 'Venta', 'Inmueble': 'Local', 'Con tour virtual': False}",0,False,,False,,,,,-38.0048506,Publicado hace 111 días,MLA1536222396,-57.5570875,,,,Otros Barrios,General Pueyrredón,,True,80000.0,True,Comercio y oficina,Local,Bs.As. Costa Atlántica,2023-10-13,,,,,,0,,mercadolibre,ML,Alquilo Local Bronzini E Ituzango,0,,30.0,m²,Venta,,,https://api.mercadolibre.com/items/MLA1536222396,,,,,,,,,,,,,,,,,,
"VENDEN EN BLOCK O POR SEPARADO 11 LOTES, DE ENTRE 6.900 Y 12.300 M2 Y ENTRE U$S 48.500.- Y U$S 86.000.-, SOBRE CALLES CIUDAD  DE ROMA , DESDE TUPUNGATO HASTA RIO PINTO, 
GALPON Y CASA DE CASEROS  PLANTADOS   SOBRE  DOS DE LOS LOTES SOBRE CIUDAD DE ROMA ENTRE TUPUNGATO Y RIO SUQIA, SE EVALUA OPCION DE ALQUILER DE LOS MISMOS.  


Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ).",,GLORIA LA PEREGRINA,20678239,Roxana Morrone,0,45,0,0,,"-37.906718,-57.7784548",,2,,,,ARS,2024-02-02,2023-05-24,,General Pueyrredón,"{'Luz eléctrica': False, 'Gas natural': False, 'Agua corriente': False, 'Seguridad': False, 'Acceso': '245047', 'Superficie total': '79000 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Terreno y lote', 'Condición del ítem': 'Nuevo', 'Antigüedad': '0 años', 'Con tour virtual': False}",0,True,,True,,,,,-37.906718,Publicado hace 253 días,MLA1423276346,-57.7784548,,,,,General Pueyrredón,,True,48500.0,True,Terreno,Terreno,Buenos Aires Interior,2023-05-24,,,,,,0,,mercadolibre,ML,"Vende  11 Lotes, En Block O Separados, De Casi 8 Hectareas Totales, Zona La  Gloria De La Peregrina ,  A  Metros De  La  Ruta 226",0,,79000.0,m²,Venta,,,https://api.mercadolibre.com/items/MLA1423276346,,,,,,,,,,,,,,,,,True,
"Este departamento en ph esta ubicado sobre vereda de sol, con acceso por escalera, al frente.
El ingreso a la unidad es por el living- comedorque conecta al balcon , un baño completo y 2 habitaciones.  Todos los ambientes son luminosos debido a los ventanales que dispone en la propiedad.  
No paga expensas.
Complejo tranquilo de 5 unidades en total.
Propietario financia 37 mil al contado y saldo en cuotas de 300 dolares!
CONSULTE POR OTROS TIPOS FINANCIACION!!

Coordine su visita!


Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ).",,Magallanes 4224,277023706,Fernando Filippini,0,45,1,2,,"-38.0375762,-57.5555539",,1,,53.0,m²,ARS,2024-02-02,2023-07-28,,Mar del Plata,"{'Condición del ítem': 'Nuevo', 'Balcón': False, 'Comedor': False, 'Parrilla': False, 'Dependencia de servicio': False, 'Patio': False, 'Terraza': False, 'Gas natural': False, 'Aire acondicionado': False, 'Gimnasio': False, 'Calefacción': False, 'Acceso a internet': False, 'Seguridad': False, 'Pileta': False, 'Apto crédito': False, 'Dormitorios': '2', 'Superficie cubierta': '53 m²', 'Baños': '1', 'Cocheras': '0', 'Antigüedad': '0 años', 'Ambientes': '3', 'Superficie total': '55 m²', 'Depósitos': '0', 'Operación': 'Venta', 'Inmueble': 'Ph', 'Con tour virtual': False}",0,False,,True,False,,,,-38.0375762,Publicado hace 188 días,MLA1380451529,-57.5555539,,,,,General Pueyrredón,,True,54900.0,True,Ph,Ph,Bs.As. Costa Atlántica,2023-07-28,,,,,,3,,mercadolibre,ML,Ph 3 Ambientes En Primer Piso -a Estrenar - Financia!!,0,,55.0,m²,Venta,,,https://api.mercadolibre.com/items/MLA1380451529,,,,,,,,,,,,,,,,,True,True
